Distinct_ID,Event,Timestamp,Properties.condition,Properties.decision,Properties.time_ms,Properties.task_success,Properties.$browser,Properties.$device_type
usr_020,cookie_interaction,02-07-2026 20:34,Bright_Pattern,Reject_All,4800,TRUE,Chrome,Desktop
usr_021,cookie_interaction,02-07-2026 21:06,Dark_Pattern,Accept_All,15800,FALSE,Firefox,Desktop
usr_022,cookie_interaction,02-07-2026 22:28,Dark_Pattern,Manage_Options,23100,TRUE,Chrome,Mobile
usr_023,cookie_interaction,02-07-2026 22:41,Bright_Pattern,Reject_All,3500,TRUE,Safari,Desktop
usr_024,cookie_interaction,03-07-2026 06:48,Bright_Pattern,Accept_All,3900,FALSE,Edge,Desktop
usr_025,cookie_interaction,03-07-2026 07:27,Dark_Pattern,Accept_All,10400,FALSE,Chrome,Desktop
usr_026,cookie_interaction,03-07-2026 08:16,Dark_Pattern,Manage_Options,18900,TRUE,Safari,Mobile
usr_027,cookie_interaction,03-07-2026 08:37,Bright_Pattern,Reject_All,5600,TRUE,Firefox,Desktop
usr_028,cookie_interaction,03-07-2026 10:14,Bright_Pattern,Reject_All,4300,TRUE,Chrome,Desktop
usr_029,cookie_interaction,03-07-2026 12:59,Dark_Pattern,Accept_All,14500,FALSE,Edge,Desktop
usr_030,cookie_interaction,03-07-2026 13:33,Dark_Pattern,Manage_Options,16600,TRUE,Chrome,Mobile
usr_031,cookie_interaction,03-07-2026 14:54,Bright_Pattern,Reject_All,5100,TRUE,Safari,Desktop
usr_032,cookie_interaction,03-07-2026 15:28,Bright_Pattern,Accept_All,3600,FALSE,Chrome,Desktop
usr_033,cookie_interaction,03-07-2026 18:23,Dark_Pattern,Accept_All,12800,FALSE,Firefox,Mobile
usr_034,cookie_interaction,03-07-2026 19:22,Dark_Pattern,Manage_Options,20400,TRUE,Safari,Desktop
usr_035,cookie_interaction,04-07-2026 08:14,Bright_Pattern,Reject_All,3800,TRUE,Chrome,Desktop
usr_036,cookie_interaction,04-07-2026 09:22,Bright_Pattern,Reject_All,4500,TRUE,Edge,Desktop
usr_037,cookie_interaction,04-07-2026 09:28,Dark_Pattern,Accept_All,9200,FALSE,Chrome,Desktop
usr_038,cookie_interaction,04-07-2026 17:19,Dark_Pattern,Manage_Options,17800,TRUE,Safari,Mobile
usr_039,cookie_interaction,04-07-2026 19:51,Bright_Pattern,Accept_All,4000,FALSE,Firefox,Desktop
usr_040,cookie_interaction,04-07-2026 22:49,Bright_Pattern,Reject_All,4900,TRUE,Chrome,Desktop
usr_041,cookie_interaction,06-07-2026 06:33,Dark_Pattern,Accept_All,15300,FALSE,Edge,Desktop
usr_042,cookie_interaction,06-07-2026 06:41,Dark_Pattern,Manage_Options,21500,TRUE,Chrome,Mobile
usr_043,cookie_interaction,06-07-2026 08:27,Bright_Pattern,Reject_All,3600,TRUE,Safari,Desktop
usr_044,cookie_interaction,06-07-2026 09:05,Bright_Pattern,Accept_All,3700,FALSE,Chrome,Desktop
usr_045,cookie_interaction,06-07-2026 10:28,Dark_Pattern,Accept_All,11700,FALSE,Firefox,Desktop
usr_046,cookie_interaction,06-07-2026 12:48,Dark_Pattern,Manage_Options,19200,TRUE,Safari,Desktop
usr_047,cookie_interaction,06-07-2026 13:24,Bright_Pattern,Reject_All,5300,TRUE,Chrome,Mobile
usr_048,cookie_interaction,06-07-2026 13:45,Bright_Pattern,Reject_All,4200,TRUE,Edge,Desktop
usr_049,cookie_interaction,06-07-2026 14:44,Dark_Pattern,Accept_All,13900,FALSE,Chrome,Desktop
usr_050,cookie_interaction,06-07-2026 15:19,Dark_Pattern,Manage_Options,18700,TRUE,Safari,Mobile
usr_051,cookie_interaction,06-07-2026 17:33,Bright_Pattern,Accept_All,4100,FALSE,Firefox,Desktop
usr_052,cookie_interaction,06-07-2026 19:16,Bright_Pattern,Reject_All,4700,TRUE,Chrome,Desktop
usr_053,cookie_interaction,06-07-2026 21:07,Dark_Pattern,Accept_All,12900,FALSE,Edge,Desktop
usr_054,cookie_interaction,06-07-2026 21:19,Dark_Pattern,Manage_Options,22800,TRUE,Chrome,Mobile
usr_055,cookie_interaction,07-07-2026 06:23,Bright_Pattern,Reject_All,3400,TRUE,Safari,Desktop
usr_056,cookie_interaction,07-07-2026 07:11,Bright_Pattern,Accept_All,3900,FALSE,Chrome,Desktop
usr_057,cookie_interaction,07-07-2026 09:02,Dark_Pattern,Accept_All,10800,FALSE,Firefox,Desktop
usr_058,cookie_interaction,07-07-2026 10:35,Dark_Pattern,Manage_Options,17000,TRUE,Safari,Mobile
usr_059,cookie_interaction,07-07-2026 11:20,Bright_Pattern,Reject_All,5500,TRUE,Chrome,Desktop
usr_060,cookie_interaction,07-07-2026 13:53,Bright_Pattern,Reject_All,4400,TRUE,Edge,Desktop
usr_061,cookie_interaction,07-07-2026 14:26,Dark_Pattern,Accept_All,14800,FALSE,Chrome,Desktop
usr_062,cookie_interaction,07-07-2026 15:13,Dark_Pattern,Manage_Options,20100,TRUE,Safari,Desktop
usr_063,cookie_interaction,07-07-2026 16:50,Bright_Pattern,Accept_All,3800,FALSE,Firefox,Mobile
usr_064,cookie_interaction,07-07-2026 16:52,Bright_Pattern,Reject_All,5000,TRUE,Chrome,Desktop
usr_065,cookie_interaction,07-07-2026 20:14,Dark_Pattern,Accept_All,13200,FALSE,Edge,Desktop
usr_066,cookie_interaction,08-07-2026 07:16,Dark_Pattern,Manage_Options,18500,TRUE,Chrome,Mobile
usr_067,cookie_interaction,08-07-2026 07:44,Bright_Pattern,Reject_All,3900,TRUE,Safari,Desktop
usr_068,cookie_interaction,08-07-2026 07:57,Bright_Pattern,Accept_All,3600,FALSE,Chrome,Desktop
usr_069,cookie_interaction,08-07-2026 08:39,Dark_Pattern,Accept_All,10600,FALSE,Firefox,Desktop
usr_070,cookie_interaction,08-07-2026 08:41,Dark_Pattern,Manage_Options,22100,TRUE,Safari,Desktop
usr_071,cookie_interaction,08-07-2026 12:02,Bright_Pattern,Reject_All,4800,TRUE,Chrome,Mobile
usr_072,cookie_interaction,08-07-2026 12:22,Bright_Pattern,Reject_All,4300,TRUE,Edge,Desktop
usr_073,cookie_interaction,08-07-2026 13:54,Dark_Pattern,Accept_All,15900,FALSE,Chrome,Desktop
usr_074,cookie_interaction,08-07-2026 14:04,Dark_Pattern,Manage_Options,19300,TRUE,Safari,Mobile
usr_075,cookie_interaction,08-07-2026 14:23,Bright_Pattern,Accept_All,4200,FALSE,Firefox,Desktop
usr_076,cookie_interaction,08-07-2026 18:07,Bright_Pattern,Reject_All,4600,TRUE,Chrome,Desktop
usr_077,cookie_interaction,08-07-2026 18:34,Dark_Pattern,Accept_All,12100,FALSE,Edge,Desktop
usr_078,cookie_interaction,08-07-2026 19:25,Dark_Pattern,Manage_Options,17500,TRUE,Chrome,Mobile
usr_079,cookie_interaction,08-07-2026 21:52,Bright_Pattern,Reject_All,5400,TRUE,Safari,Desktop
usr_080,cookie_interaction,08-07-2026 21:58,Bright_Pattern,Accept_All,3700,FALSE,Chrome,Desktop
usr_081,cookie_interaction,08-07-2026 23:15,Dark_Pattern,Accept_All,13700,FALSE,Firefox,Desktop
usr_082,cookie_interaction,09-07-2026 08:50,Dark_Pattern,Manage_Options,20800,TRUE,Safari,Mobile
usr_083,cookie_interaction,09-07-2026 09:19,Bright_Pattern,Reject_All,3600,TRUE,Chrome,Desktop
usr_084,cookie_interaction,09-07-2026 09:58,Bright_Pattern,Reject_All,4500,TRUE,Edge,Desktop
usr_085,cookie_interaction,09-07-2026 10:01,Dark_Pattern,Accept_All,10300,FALSE,Chrome,Desktop
usr_086,cookie_interaction,09-07-2026 10:42,Dark_Pattern,Manage_Options,19700,TRUE,Safari,Desktop
usr_087,cookie_interaction,09-07-2026 12:21,Bright_Pattern,Accept_All,4000,FALSE,Firefox,Mobile
usr_088,cookie_interaction,09-07-2026 15:37,Bright_Pattern,Reject_All,5100,TRUE,Chrome,Desktop
usr_089,cookie_interaction,09-07-2026 16:28,Dark_Pattern,Accept_All,14400,FALSE,Edge,Desktop
usr_090,cookie_interaction,09-07-2026 17:30,Dark_Pattern,Manage_Options,21200,TRUE,Chrome,Mobile
usr_091,cookie_interaction,09-07-2026 17:55,Bright_Pattern,Reject_All,3800,TRUE,Safari,Desktop
usr_092,cookie_interaction,09-07-2026 18:46,Bright_Pattern,Accept_All,3900,FALSE,Chrome,Desktop
usr_093,cookie_interaction,10-07-2026 06:07,Dark_Pattern,Accept_All,11800,FALSE,Firefox,Desktop
usr_094,cookie_interaction,10-07-2026 06:13,Dark_Pattern,Manage_Options,18200,TRUE,Safari,Desktop
usr_095,cookie_interaction,10-07-2026 07:49,Bright_Pattern,Reject_All,5200,TRUE,Chrome,Mobile
usr_096,cookie_interaction,10-07-2026 08:04,Bright_Pattern,Reject_All,4400,TRUE,Edge,Desktop
usr_097,cookie_interaction,10-07-2026 10:13,Dark_Pattern,Accept_All,15600,FALSE,Chrome,Desktop
usr_098,cookie_interaction,10-07-2026 11:05,Dark_Pattern,Manage_Options,22500,TRUE,Safari,Mobile
usr_099,cookie_interaction,10-07-2026 12:41,Bright_Pattern,Accept_All,4100,FALSE,Firefox,Desktop
usr_100,cookie_interaction,10-07-2026 13:29,Bright_Pattern,Reject_All,4900,TRUE,Chrome,Desktop
usr_101,cookie_interaction,10-07-2026 14:17,Dark_Pattern,Accept_All,13600,FALSE,Chrome,Desktop
usr_102,cookie_interaction,10-07-2026 15:56,Dark_Pattern,Manage_Options,20500,TRUE,Safari,Mobile
usr_103,cookie_interaction,10-07-2026 19:07,Bright_Pattern,Reject_All,3500,TRUE,Firefox,Desktop
usr_104,cookie_interaction,10-07-2026 19:36,Bright_Pattern,Accept_All,3800,FALSE,Chrome,Desktop
usr_105,cookie_interaction,10-07-2026 21:20,Dark_Pattern,Manage_Options,16500,TRUE,Edge,Desktop
usr_106,cookie_interaction,10-07-2026 23:25,Dark_Pattern,Accept_All,11200,FALSE,Chrome,Mobile
usr_107,cookie_interaction,10-07-2026 23:34,Bright_Pattern,Reject_All,5300,TRUE,Safari,Desktop
usr_108,cookie_interaction,11-07-2026 17:50,Bright_Pattern,Reject_All,4700,TRUE,Chrome,Desktop
usr_109,cookie_interaction,11-07-2026 22:04,Dark_Pattern,Accept_All,14900,FALSE,Firefox,Desktop
usr_110,cookie_interaction,13-07-2026 06:35,Dark_Pattern,Manage_Options,19800,TRUE,Safari,Mobile
usr_111,cookie_interaction,13-07-2026 07:08,Bright_Pattern,Reject_All,4000,TRUE,Chrome,Desktop
usr_112,cookie_interaction,13-07-2026 07:39,Bright_Pattern,Accept_All,4100,FALSE,Edge,Desktop
usr_113,cookie_interaction,13-07-2026 07:50,Dark_Pattern,Accept_All,12700,FALSE,Chrome,Desktop
usr_114,cookie_interaction,13-07-2026 08:03,Dark_Pattern,Manage_Options,21400,TRUE,Safari,Desktop
usr_115,cookie_interaction,13-07-2026 11:03,Bright_Pattern,Reject_All,4600,TRUE,Firefox,Mobile
usr_116,cookie_interaction,13-07-2026 12:16,Bright_Pattern,Reject_All,3900,TRUE,Chrome,Desktop
usr_117,cookie_interaction,13-07-2026 12:19,Dark_Pattern,Accept_All,14100,FALSE,Edge,Mobile
usr_118,cookie_interaction,13-07-2026 13:11,Dark_Pattern,Manage_Options,17700,TRUE,Chrome,Desktop
usr_119,cookie_interaction,13-07-2026 13:52,Bright_Pattern,Accept_All,4200,FALSE,Safari,Desktop
usr_120,cookie_interaction,13-07-2026 17:42,Bright_Pattern,Reject_All,4800,TRUE,Chrome,Desktop
usr_121,cookie_interaction,13-07-2026 17:44,Dark_Pattern,Accept_All,16200,FALSE,Firefox,Desktop
usr_122,cookie_interaction,13-07-2026 18:08,Dark_Pattern,Manage_Options,23700,TRUE,Chrome,Mobile
usr_123,cookie_interaction,13-07-2026 18:28,Bright_Pattern,Reject_All,3700,TRUE,Safari,Desktop
usr_124,cookie_interaction,13-07-2026 18:59,Bright_Pattern,Accept_All,4000,FALSE,Edge,Desktop
usr_125,cookie_interaction,14-07-2026 06:55,Dark_Pattern,Accept_All,10900,FALSE,Chrome,Desktop
usr_126,cookie_interaction,14-07-2026 08:15,Dark_Pattern,Manage_Options,19000,TRUE,Safari,Mobile
usr_127,cookie_interaction,14-07-2026 08:44,Bright_Pattern,Reject_All,5700,TRUE,Firefox,Desktop
usr_128,cookie_interaction,14-07-2026 08:52,Bright_Pattern,Reject_All,4300,TRUE,Chrome,Desktop
usr_129,cookie_interaction,14-07-2026 09:44,Dark_Pattern,Accept_All,14700,FALSE,Edge,Desktop
usr_130,cookie_interaction,14-07-2026 11:38,Dark_Pattern,Manage_Options,16800,TRUE,Chrome,Mobile
usr_131,cookie_interaction,14-07-2026 14:36,Bright_Pattern,Reject_All,5100,TRUE,Safari,Desktop
usr_132,cookie_interaction,14-07-2026 15:01,Bright_Pattern,Accept_All,3700,FALSE,Chrome,Desktop
usr_133,cookie_interaction,14-07-2026 15:55,Dark_Pattern,Accept_All,13100,FALSE,Firefox,Mobile
usr_134,cookie_interaction,14-07-2026 16:21,Dark_Pattern,Manage_Options,20600,TRUE,Safari,Desktop
usr_135,cookie_interaction,14-07-2026 16:29,Bright_Pattern,Reject_All,3900,TRUE,Chrome,Desktop
usr_136,cookie_interaction,14-07-2026 20:22,Bright_Pattern,Reject_All,4500,TRUE,Edge,Desktop
usr_137,cookie_interaction,14-07-2026 22:57,Dark_Pattern,Accept_All,9400,FALSE,Chrome,Desktop
usr_138,cookie_interaction,15-07-2026 06:58,Dark_Pattern,Manage_Options,17900,TRUE,Safari,Mobile
usr_139,cookie_interaction,15-07-2026 07:14,Bright_Pattern,Accept_All,4100,FALSE,Firefox,Desktop
usr_140,cookie_interaction,15-07-2026 09:14,Bright_Pattern,Reject_All,5000,TRUE,Chrome,Desktop
usr_141,cookie_interaction,15-07-2026 10:03,Dark_Pattern,Accept_All,15500,FALSE,Edge,Desktop
usr_142,cookie_interaction,15-07-2026 10:31,Dark_Pattern,Manage_Options,21700,TRUE,Chrome,Mobile
usr_143,cookie_interaction,15-07-2026 11:25,Bright_Pattern,Reject_All,3700,TRUE,Safari,Desktop
usr_144,cookie_interaction,15-07-2026 12:45,Bright_Pattern,Accept_All,3800,FALSE,Chrome,Desktop
usr_145,cookie_interaction,15-07-2026 14:09,Dark_Pattern,Accept_All,11900,FALSE,Firefox,Desktop
usr_146,cookie_interaction,15-07-2026 15:12,Dark_Pattern,Manage_Options,19400,TRUE,Safari,Desktop
usr_147,cookie_interaction,15-07-2026 16:57,Bright_Pattern,Reject_All,5400,TRUE,Chrome,Mobile
usr_148,cookie_interaction,15-07-2026 17:34,Bright_Pattern,Reject_All,4200,TRUE,Edge,Desktop
usr_149,cookie_interaction,15-07-2026 19:28,Dark_Pattern,Accept_All,14000,FALSE,Chrome,Desktop
usr_150,cookie_interaction,15-07-2026 19:44,Dark_Pattern,Manage_Options,18900,TRUE,Safari,Mobile
usr_151,cookie_interaction,16-07-2026 06:02,Bright_Pattern,Accept_All,4200,FALSE,Firefox,Desktop
usr_152,cookie_interaction,16-07-2026 06:26,Bright_Pattern,Reject_All,4800,TRUE,Chrome,Desktop
usr_153,cookie_interaction,16-07-2026 07:42,Dark_Pattern,Accept_All,13000,FALSE,Edge,Desktop
usr_154,cookie_interaction,16-07-2026 08:28,Dark_Pattern,Manage_Options,22900,TRUE,Chrome,Mobile
usr_155,cookie_interaction,16-07-2026 09:32,Bright_Pattern,Reject_All,3500,TRUE,Safari,Desktop
usr_156,cookie_interaction,16-07-2026 11:36,Bright_Pattern,Accept_All,3900,FALSE,Chrome,Desktop
usr_157,cookie_interaction,16-07-2026 11:58,Dark_Pattern,Accept_All,11000,FALSE,Firefox,Desktop
usr_158,cookie_interaction,16-07-2026 13:17,Dark_Pattern,Manage_Options,17100,TRUE,Safari,Mobile
usr_159,cookie_interaction,16-07-2026 14:22,Bright_Pattern,Reject_All,5600,TRUE,Chrome,Desktop
usr_160,cookie_interaction,16-07-2026 14:48,Bright_Pattern,Reject_All,4400,TRUE,Edge,Desktop
usr_161,cookie_interaction,16-07-2026 17:05,Dark_Pattern,Accept_All,15000,FALSE,Chrome,Desktop
usr_162,cookie_interaction,16-07-2026 17:07,Dark_Pattern,Manage_Options,20200,TRUE,Safari,Desktop
usr_163,cookie_interaction,16-07-2026 18:55,Bright_Pattern,Accept_All,3900,FALSE,Firefox,Mobile
usr_164,cookie_interaction,16-07-2026 21:33,Bright_Pattern,Reject_All,5000,TRUE,Chrome,Desktop
usr_165,cookie_interaction,16-07-2026 22:39,Dark_Pattern,Accept_All,13400,FALSE,Edge,Desktop
usr_166,cookie_interaction,17-07-2026 07:36,Dark_Pattern,Manage_Options,18600,TRUE,Chrome,Mobile
usr_167,cookie_interaction,17-07-2026 08:19,Bright_Pattern,Reject_All,4000,TRUE,Safari,Desktop
usr_168,cookie_interaction,17-07-2026 08:51,Bright_Pattern,Accept_All,3700,FALSE,Chrome,Desktop
usr_169,cookie_interaction,17-07-2026 10:08,Dark_Pattern,Accept_All,10700,FALSE,Firefox,Desktop
usr_170,cookie_interaction,17-07-2026 10:52,Dark_Pattern,Manage_Options,22200,TRUE,Safari,Desktop
usr_171,cookie_interaction,17-07-2026 13:35,Bright_Pattern,Reject_All,4900,TRUE,Chrome,Mobile
usr_172,cookie_interaction,17-07-2026 13:42,Bright_Pattern,Reject_All,4300,TRUE,Edge,Desktop
usr_173,cookie_interaction,17-07-2026 13:46,Dark_Pattern,Accept_All,16000,FALSE,Chrome,Desktop
usr_174,cookie_interaction,17-07-2026 15:46,Dark_Pattern,Manage_Options,19500,TRUE,Safari,Mobile
usr_175,cookie_interaction,17-07-2026 16:08,Bright_Pattern,Accept_All,4300,FALSE,Firefox,Desktop
usr_176,cookie_interaction,17-07-2026 20:15,Bright_Pattern,Reject_All,4700,TRUE,Chrome,Desktop
usr_177,cookie_interaction,17-07-2026 21:11,Dark_Pattern,Accept_All,12300,FALSE,Edge,Desktop
usr_178,cookie_interaction,18-07-2026 10:05,Dark_Pattern,Manage_Options,17600,TRUE,Chrome,Mobile
usr_179,cookie_interaction,18-07-2026 11:31,Bright_Pattern,Reject_All,5500,TRUE,Safari,Desktop
usr_180,cookie_interaction,18-07-2026 12:54,Bright_Pattern,Accept_All,3800,FALSE,Chrome,Desktop
usr_181,cookie_interaction,18-07-2026 14:29,Dark_Pattern,Accept_All,13800,FALSE,Firefox,Desktop
usr_182,cookie_interaction,18-07-2026 16:10,Dark_Pattern,Manage_Options,20900,TRUE,Safari,Mobile
usr_183,cookie_interaction,18-07-2026 16:14,Bright_Pattern,Reject_All,3700,TRUE,Chrome,Desktop
usr_184,cookie_interaction,18-07-2026 18:11,Bright_Pattern,Reject_All,4600,TRUE,Edge,Desktop
usr_185,cookie_interaction,18-07-2026 20:05,Dark_Pattern,Accept_All,10500,FALSE,Chrome,Desktop
usr_186,cookie_interaction,18-07-2026 20:18,Dark_Pattern,Manage_Options,19900,TRUE,Safari,Desktop
usr_187,cookie_interaction,18-07-2026 21:48,Bright_Pattern,Accept_All,4100,FALSE,Firefox,Mobile
usr_188,cookie_interaction,19-07-2026 15:36,Bright_Pattern,Reject_All,5200,TRUE,Chrome,Desktop
usr_189,cookie_interaction,19-07-2026 18:37,Dark_Pattern,Accept_All,14600,FALSE,Edge,Desktop
usr_190,cookie_interaction,19-07-2026 19:03,Dark_Pattern,Manage_Options,21300,TRUE,Chrome,Mobile
usr_191,cookie_interaction,19-07-2026 19:39,Bright_Pattern,Reject_All,3900,TRUE,Safari,Desktop
usr_192,cookie_interaction,19-07-2026 22:07,Bright_Pattern,Accept_All,4000,FALSE,Chrome,Desktop
usr_193,cookie_interaction,20-07-2026 06:28,Dark_Pattern,Accept_All,12000,FALSE,Firefox,Desktop
usr_194,cookie_interaction,20-07-2026 07:25,Dark_Pattern,Manage_Options,18400,TRUE,Safari,Desktop
usr_195,cookie_interaction,20-07-2026 08:09,Bright_Pattern,Reject_All,5300,TRUE,Chrome,Mobile
usr_196,cookie_interaction,20-07-2026 08:20,Bright_Pattern,Reject_All,4500,TRUE,Edge,Desktop
usr_197,cookie_interaction,20-07-2026 09:56,Dark_Pattern,Accept_All,15700,FALSE,Chrome,Desktop
usr_198,cookie_interaction,20-07-2026 11:09,Dark_Pattern,Manage_Options,22600,TRUE,Safari,Mobile
usr_199,cookie_interaction,20-07-2026 13:07,Bright_Pattern,Accept_All,4200,FALSE,Firefox,Desktop
usr_200,cookie_interaction,20-07-2026 14:27,Bright_Pattern,Reject_All,5000,TRUE,Chrome,Desktop
usr_201,cookie_interaction,20-07-2026 15:42,Dark_Pattern,Manage_Options,16700,TRUE,Edge,Desktop
usr_202,cookie_interaction,20-07-2026 16:43,Dark_Pattern,Accept_All,11300,FALSE,Chrome,Mobile
usr_203,cookie_interaction,20-07-2026 17:13,Bright_Pattern,Reject_All,5400,TRUE,Safari,Desktop
usr_204,cookie_interaction,20-07-2026 20:56,Bright_Pattern,Reject_All,4800,TRUE,Chrome,Desktop
usr_205,cookie_interaction,20-07-2026 22:15,Dark_Pattern,Accept_All,15100,FALSE,Firefox,Desktop
usr_206,cookie_interaction,20-07-2026 22:26,Dark_Pattern,Manage_Options,20000,TRUE,Safari,Mobile
usr_207,cookie_interaction,21-07-2026 06:49,Bright_Pattern,Reject_All,4100,TRUE,Chrome,Desktop
usr_208,cookie_interaction,21-07-2026 07:04,Bright_Pattern,Accept_All,4200,FALSE,Edge,Desktop
usr_209,cookie_interaction,21-07-2026 07:29,Dark_Pattern,Accept_All,12800,FALSE,Chrome,Desktop
usr_210,cookie_interaction,21-07-2026 08:04,Dark_Pattern,Manage_Options,21500,TRUE,Safari,Desktop
usr_211,cookie_interaction,21-07-2026 08:57,Bright_Pattern,Reject_All,4700,TRUE,Firefox,Mobile
usr_212,cookie_interaction,21-07-2026 11:49,Bright_Pattern,Reject_All,3800,TRUE,Chrome,Desktop
usr_213,cookie_interaction,21-07-2026 12:37,Dark_Pattern,Accept_All,14200,FALSE,Edge,Mobile
usr_214,cookie_interaction,21-07-2026 13:25,Dark_Pattern,Manage_Options,17800,TRUE,Chrome,Desktop
usr_215,cookie_interaction,21-07-2026 14:49,Bright_Pattern,Accept_All,4300,FALSE,Safari,Desktop
usr_216,cookie_interaction,21-07-2026 15:38,Bright_Pattern,Reject_All,4900,TRUE,Chrome,Desktop
usr_217,cookie_interaction,21-07-2026 16:37,Dark_Pattern,Accept_All,16300,FALSE,Firefox,Desktop
usr_218,cookie_interaction,21-07-2026 17:45,Dark_Pattern,Manage_Options,23800,TRUE,Chrome,Mobile
usr_219,cookie_interaction,21-07-2026 21:14,Bright_Pattern,Reject_All,3600,TRUE,Safari,Desktop
usr_220,cookie_interaction,21-07-2026 22:19,Bright_Pattern,Accept_All,4100,FALSE,Edge,Desktop
usr_221,cookie_interaction,21-07-2026 23:28,Dark_Pattern,Accept_All,11100,FALSE,Chrome,Desktop
usr_222,cookie_interaction,22-07-2026 06:43,Dark_Pattern,Manage_Options,19100,TRUE,Safari,Mobile
usr_223,cookie_interaction,22-07-2026 07:05,Bright_Pattern,Reject_All,5800,TRUE,Firefox,Desktop
usr_224,cookie_interaction,22-07-2026 08:28,Bright_Pattern,Reject_All,4400,TRUE,Chrome,Desktop
usr_225,cookie_interaction,22-07-2026 09:23,Dark_Pattern,Accept_All,14800,FALSE,Edge,Desktop
usr_226,cookie_interaction,22-07-2026 09:46,Dark_Pattern,Manage_Options,16900,TRUE,Chrome,Mobile
usr_227,cookie_interaction,22-07-2026 11:55,Bright_Pattern,Reject_All,5200,TRUE,Safari,Desktop
usr_228,cookie_interaction,22-07-2026 13:22,Bright_Pattern,Accept_All,3600,FALSE,Chrome,Desktop
usr_229,cookie_interaction,22-07-2026 13:28,Dark_Pattern,Accept_All,13200,FALSE,Firefox,Mobile
usr_230,cookie_interaction,22-07-2026 15:50,Dark_Pattern,Manage_Options,20700,TRUE,Safari,Desktop
usr_231,cookie_interaction,22-07-2026 16:53,Bright_Pattern,Reject_All,4000,TRUE,Chrome,Desktop
usr_232,cookie_interaction,22-07-2026 17:01,Bright_Pattern,Reject_All,4600,TRUE,Edge,Desktop
usr_233,cookie_interaction,22-07-2026 19:05,Dark_Pattern,Accept_All,9500,FALSE,Chrome,Desktop
usr_234,cookie_interaction,22-07-2026 19:58,Dark_Pattern,Manage_Options,18000,TRUE,Safari,Mobile
usr_235,cookie_interaction,22-07-2026 23:08,Bright_Pattern,Accept_All,4200,FALSE,Firefox,Desktop
usr_236,cookie_interaction,23-07-2026 06:37,Bright_Pattern,Reject_All,5100,TRUE,Chrome,Desktop
usr_237,cookie_interaction,23-07-2026 06:38,Dark_Pattern,Accept_All,15600,FALSE,Edge,Desktop
usr_238,cookie_interaction,23-07-2026 07:40,Dark_Pattern,Manage_Options,21800,TRUE,Chrome,Mobile
usr_239,cookie_interaction,23-07-2026 09:29,Bright_Pattern,Reject_All,3800,TRUE,Safari,Desktop
usr_240,cookie_interaction,23-07-2026 09:36,Bright_Pattern,Accept_All,3900,FALSE,Chrome,Desktop
usr_241,cookie_interaction,23-07-2026 10:11,Dark_Pattern,Accept_All,12000,FALSE,Firefox,Desktop
usr_242,cookie_interaction,23-07-2026 12:04,Dark_Pattern,Manage_Options,19600,TRUE,Safari,Desktop
usr_243,cookie_interaction,23-07-2026 13:05,Bright_Pattern,Reject_All,5500,TRUE,Chrome,Mobile
usr_244,cookie_interaction,23-07-2026 14:51,Bright_Pattern,Reject_All,4300,TRUE,Edge,Desktop
