Participant_ID,Condition,Decision,Time_to_Click_ms,Task_Success,Rage_Clicks,Browser,Device_Type
usr_129,Dark_Pattern,Accept_All,14700,FALSE,2,Edge,Desktop
usr_130,Dark_Pattern,Manage_Options,16800,TRUE,0,Chrome,Mobile
usr_131,Bright_Pattern,Reject_All,5100,TRUE,0,Safari,Desktop
usr_132,Bright_Pattern,Accept_All,3700,FALSE,0,Chrome,Desktop
usr_133,Dark_Pattern,Accept_All,13100,FALSE,1,Firefox,Mobile
usr_134,Dark_Pattern,Manage_Options,20600,TRUE,2,Safari,Desktop
usr_135,Bright_Pattern,Reject_All,3900,TRUE,0,Chrome,Desktop
usr_136,Bright_Pattern,Reject_All,4500,TRUE,0,Edge,Desktop
usr_137,Dark_Pattern,Accept_All,9400,FALSE,1,Chrome,Desktop
usr_138,Dark_Pattern,Manage_Options,17900,TRUE,1,Safari,Mobile
usr_139,Bright_Pattern,Accept_All,4100,FALSE,0,Firefox,Desktop
usr_140,Bright_Pattern,Reject_All,5000,TRUE,0,Chrome,Desktop
usr_141,Dark_Pattern,Accept_All,15500,FALSE,3,Edge,Desktop
usr_142,Dark_Pattern,Manage_Options,21700,TRUE,0,Chrome,Mobile
usr_143,Bright_Pattern,Reject_All,3700,TRUE,0,Safari,Desktop
usr_144,Bright_Pattern,Accept_All,3800,FALSE,0,Chrome,Desktop
usr_145,Dark_Pattern,Accept_All,11900,FALSE,2,Firefox,Desktop
usr_146,Dark_Pattern,Manage_Options,19400,TRUE,1,Safari,Desktop
usr_147,Bright_Pattern,Reject_All,5400,TRUE,0,Chrome,Mobile
usr_148,Bright_Pattern,Reject_All,4200,TRUE,0,Edge,Desktop
usr_149,Dark_Pattern,Accept_All,14000,FALSE,2,Chrome,Desktop
usr_150,Dark_Pattern,Manage_Options,18900,TRUE,0,Safari,Mobile
usr_151,Bright_Pattern,Accept_All,4200,FALSE,0,Firefox,Desktop
usr_152,Bright_Pattern,Reject_All,4800,TRUE,0,Chrome,Desktop
usr_153,Dark_Pattern,Accept_All,13000,FALSE,2,Edge,Desktop
usr_154,Dark_Pattern,Manage_Options,22900,TRUE,2,Chrome,Mobile
usr_155,Bright_Pattern,Reject_All,3500,TRUE,0,Safari,Desktop
usr_156,Bright_Pattern,Accept_All,3900,FALSE,0,Chrome,Desktop
usr_157,Dark_Pattern,Accept_All,11000,FALSE,1,Firefox,Desktop
usr_158,Dark_Pattern,Manage_Options,17100,TRUE,1,Safari,Mobile
usr_159,Bright_Pattern,Reject_All,5600,TRUE,0,Chrome,Desktop
usr_160,Bright_Pattern,Reject_All,4400,TRUE,0,Edge,Desktop
usr_161,Dark_Pattern,Accept_All,15000,FALSE,2,Chrome,Desktop
usr_162,Dark_Pattern,Manage_Options,20200,TRUE,0,Safari,Desktop
usr_163,Bright_Pattern,Accept_All,3900,FALSE,0,Firefox,Mobile
usr_164,Bright_Pattern,Reject_All,5000,TRUE,0,Chrome,Desktop
usr_165,Dark_Pattern,Accept_All,13400,FALSE,2,Edge,Desktop
usr_166,Dark_Pattern,Manage_Options,18600,TRUE,1,Chrome,Mobile
usr_167,Bright_Pattern,Reject_All,4000,TRUE,0,Safari,Desktop
usr_168,Bright_Pattern,Accept_All,3700,FALSE,0,Chrome,Desktop
usr_169,Dark_Pattern,Accept_All,10700,FALSE,1,Firefox,Desktop
usr_170,Dark_Pattern,Manage_Options,22200,TRUE,2,Safari,Desktop
usr_171,Bright_Pattern,Reject_All,4900,TRUE,0,Chrome,Mobile
usr_172,Bright_Pattern,Reject_All,4300,TRUE,0,Edge,Desktop
usr_173,Dark_Pattern,Accept_All,16000,FALSE,3,Chrome,Desktop
usr_174,Dark_Pattern,Manage_Options,19500,TRUE,1,Safari,Mobile
usr_175,Bright_Pattern,Accept_All,4300,FALSE,0,Firefox,Desktop
usr_176,Bright_Pattern,Reject_All,4700,TRUE,0,Chrome,Desktop
usr_177,Dark_Pattern,Accept_All,12300,FALSE,2,Edge,Desktop
usr_178,Dark_Pattern,Manage_Options,17600,TRUE,0,Chrome,Mobile
usr_179,Bright_Pattern,Reject_All,5500,TRUE,0,Safari,Desktop
usr_180,Bright_Pattern,Accept_All,3800,FALSE,0,Chrome,Desktop
usr_181,Dark_Pattern,Accept_All,13800,FALSE,1,Firefox,Desktop
usr_182,Dark_Pattern,Manage_Options,20900,TRUE,2,Safari,Mobile
usr_183,Bright_Pattern,Reject_All,3700,TRUE,0,Chrome,Desktop
usr_184,Bright_Pattern,Reject_All,4600,TRUE,0,Edge,Desktop
usr_185,Dark_Pattern,Accept_All,10500,FALSE,2,Chrome,Desktop
usr_186,Dark_Pattern,Manage_Options,19900,TRUE,0,Safari,Desktop
usr_187,Bright_Pattern,Accept_All,4100,FALSE,0,Firefox,Mobile
usr_188,Bright_Pattern,Reject_All,5200,TRUE,0,Chrome,Desktop
usr_189,Dark_Pattern,Accept_All,14600,FALSE,3,Edge,Desktop
usr_190,Dark_Pattern,Manage_Options,21300,TRUE,1,Chrome,Mobile
usr_191,Bright_Pattern,Reject_All,3900,TRUE,0,Safari,Desktop
usr_192,Bright_Pattern,Accept_All,4000,FALSE,0,Chrome,Desktop
usr_193,Dark_Pattern,Accept_All,12000,FALSE,1,Firefox,Desktop
usr_194,Dark_Pattern,Manage_Options,18400,TRUE,1,Safari,Desktop
usr_195,Bright_Pattern,Reject_All,5300,TRUE,0,Chrome,Mobile
usr_196,Bright_Pattern,Reject_All,4500,TRUE,0,Edge,Desktop
usr_197,Dark_Pattern,Accept_All,15700,FALSE,2,Chrome,Desktop
usr_198,Dark_Pattern,Manage_Options,22600,TRUE,2,Safari,Mobile
usr_199,Bright_Pattern,Accept_All,4200,FALSE,0,Firefox,Desktop
usr_200,Bright_Pattern,Reject_All,5000,TRUE,0,Chrome,Desktop
usr_201,Dark_Pattern,Manage_Options,16700,TRUE,1,Edge,Desktop
usr_202,Dark_Pattern,Accept_All,11300,FALSE,2,Chrome,Mobile
usr_203,Bright_Pattern,Reject_All,5400,TRUE,0,Safari,Desktop
usr_204,Bright_Pattern,Reject_All,4800,TRUE,0,Chrome,Desktop
usr_205,Dark_Pattern,Accept_All,15100,FALSE,2,Firefox,Desktop
usr_206,Dark_Pattern,Manage_Options,20000,TRUE,1,Safari,Mobile
usr_207,Bright_Pattern,Reject_All,4100,TRUE,0,Chrome,Desktop
usr_208,Bright_Pattern,Accept_All,4200,FALSE,0,Edge,Desktop
usr_209,Dark_Pattern,Accept_All,12800,FALSE,1,Chrome,Desktop
usr_210,Dark_Pattern,Manage_Options,21500,TRUE,2,Safari,Desktop
usr_211,Bright_Pattern,Reject_All,4700,TRUE,0,Firefox,Mobile
usr_212,Bright_Pattern,Reject_All,3800,TRUE,0,Chrome,Desktop
usr_213,Dark_Pattern,Accept_All,14200,FALSE,2,Edge,Mobile
usr_214,Dark_Pattern,Manage_Options,17800,TRUE,0,Chrome,Desktop
usr_215,Bright_Pattern,Accept_All,4300,FALSE,0,Safari,Desktop
usr_216,Bright_Pattern,Reject_All,4900,TRUE,0,Chrome,Desktop
usr_217,Dark_Pattern,Accept_All,16300,FALSE,3,Firefox,Desktop
usr_218,Dark_Pattern,Manage_Options,23800,TRUE,2,Chrome,Mobile
usr_219,Bright_Pattern,Reject_All,3600,TRUE,0,Safari,Desktop
usr_220,Bright_Pattern,Accept_All,4100,FALSE,0,Edge,Desktop
usr_221,Dark_Pattern,Accept_All,11100,FALSE,1,Chrome,Desktop
usr_222,Dark_Pattern,Manage_Options,19100,TRUE,1,Safari,Mobile
usr_223,Bright_Pattern,Reject_All,5800,TRUE,0,Firefox,Desktop
usr_224,Bright_Pattern,Reject_All,4400,TRUE,0,Chrome,Desktop
usr_225,Dark_Pattern,Accept_All,14800,FALSE,2,Edge,Desktop
usr_226,Dark_Pattern,Manage_Options,16900,TRUE,0,Chrome,Mobile
usr_227,Bright_Pattern,Reject_All,5200,TRUE,0,Safari,Desktop
usr_228,Bright_Pattern,Accept_All,3600,FALSE,0,Chrome,Desktop
usr_229,Dark_Pattern,Accept_All,13200,FALSE,1,Firefox,Mobile
usr_230,Dark_Pattern,Manage_Options,20700,TRUE,2,Safari,Desktop
usr_231,Bright_Pattern,Reject_All,4000,TRUE,0,Chrome,Desktop
usr_232,Bright_Pattern,Reject_All,4600,TRUE,0,Edge,Desktop
usr_233,Dark_Pattern,Accept_All,9500,FALSE,1,Chrome,Desktop
usr_234,Dark_Pattern,Manage_Options,18000,TRUE,1,Safari,Mobile
usr_235,Bright_Pattern,Accept_All,4200,FALSE,0,Firefox,Desktop
usr_236,Bright_Pattern,Reject_All,5100,TRUE,0,Chrome,Desktop
usr_237,Dark_Pattern,Accept_All,15600,FALSE,3,Edge,Desktop
usr_238,Dark_Pattern,Manage_Options,21800,TRUE,0,Chrome,Mobile
usr_239,Bright_Pattern,Reject_All,3800,TRUE,0,Safari,Desktop
usr_240,Bright_Pattern,Accept_All,3900,FALSE,0,Chrome,Desktop
usr_241,Dark_Pattern,Accept_All,12000,FALSE,2,Firefox,Desktop
usr_242,Dark_Pattern,Manage_Options,19600,TRUE,1,Safari,Desktop
usr_243,Bright_Pattern,Reject_All,5500,TRUE,0,Chrome,Mobile
usr_244,Bright_Pattern,Reject_All,4300,TRUE,0,Edge,Desktop
usr_245,Dark_Pattern,Accept_All,14100,FALSE,2,Chrome,Desktop
usr_246,Dark_Pattern,Manage_Options,19000,TRUE,0,Safari,Mobile
usr_247,Bright_Pattern,Accept_All,4300,FALSE,0,Firefox,Desktop
usr_248,Bright_Pattern,Reject_All,4900,TRUE,0,Chrome,Desktop
usr_249,Dark_Pattern,Accept_All,13100,FALSE,2,Edge,Desktop
usr_250,Dark_Pattern,Manage_Options,23000,TRUE,2,Chrome,Mobile
usr_251,Bright_Pattern,Reject_All,3600,TRUE,0,Safari,Desktop
usr_252,Bright_Pattern,Accept_All,4000,FALSE,0,Chrome,Desktop
usr_253,Dark_Pattern,Accept_All,11200,FALSE,1,Firefox,Desktop
usr_254,Dark_Pattern,Manage_Options,17200,TRUE,1,Safari,Mobile
usr_255,Bright_Pattern,Reject_All,5700,TRUE,0,Chrome,Desktop
usr_256,Bright_Pattern,Reject_All,4500,TRUE,0,Edge,Desktop
usr_257,Dark_Pattern,Accept_All,15200,FALSE,2,Chrome,Desktop
usr_258,Dark_Pattern,Manage_Options,20300,TRUE,0,Safari,Desktop
usr_259,Bright_Pattern,Accept_All,4000,FALSE,0,Firefox,Mobile
usr_260,Bright_Pattern,Reject_All,5100,TRUE,0,Chrome,Desktop
usr_261,Dark_Pattern,Accept_All,13500,FALSE,2,Edge,Desktop
usr_262,Dark_Pattern,Manage_Options,18700,TRUE,1,Chrome,Mobile
usr_263,Bright_Pattern,Reject_All,4100,TRUE,0,Safari,Desktop
usr_264,Bright_Pattern,Accept_All,3800,FALSE,0,Chrome,Desktop
usr_265,Dark_Pattern,Accept_All,10800,FALSE,1,Firefox,Desktop
usr_266,Dark_Pattern,Manage_Options,22300,TRUE,2,Safari,Desktop
usr_267,Bright_Pattern,Reject_All,5000,TRUE,0,Chrome,Mobile
usr_268,Bright_Pattern,Reject_All,4400,TRUE,0,Edge,Desktop
usr_269,Dark_Pattern,Accept_All,16100,FALSE,3,Chrome,Desktop
usr_270,Dark_Pattern,Manage_Options,19700,TRUE,1,Safari,Mobile
usr_271,Bright_Pattern,Accept_All,4400,FALSE,0,Firefox,Desktop
usr_272,Bright_Pattern,Reject_All,4800,TRUE,0,Chrome,Desktop
usr_273,Dark_Pattern,Accept_All,12400,FALSE,2,Edge,Desktop
usr_274,Dark_Pattern,Manage_Options,17700,TRUE,0,Chrome,Mobile
usr_275,Bright_Pattern,Reject_All,5600,TRUE,0,Safari,Desktop
usr_276,Bright_Pattern,Accept_All,3900,FALSE,0,Chrome,Desktop
usr_277,Dark_Pattern,Accept_All,13900,FALSE,1,Firefox,Desktop
usr_278,Dark_Pattern,Manage_Options,21000,TRUE,2,Safari,Mobile
usr_279,Bright_Pattern,Reject_All,3800,TRUE,0,Chrome,Desktop
usr_280,Bright_Pattern,Reject_All,4700,TRUE,0,Edge,Desktop
usr_281,Dark_Pattern,Accept_All,10600,FALSE,2,Chrome,Desktop
usr_282,Dark_Pattern,Manage_Options,20100,TRUE,0,Safari,Desktop
usr_283,Bright_Pattern,Accept_All,4200,FALSE,0,Firefox,Mobile
usr_284,Bright_Pattern,Reject_All,5300,TRUE,0,Chrome,Desktop
usr_285,Dark_Pattern,Accept_All,14700,FALSE,3,Edge,Desktop
usr_286,Dark_Pattern,Manage_Options,21400,TRUE,1,Chrome,Mobile
usr_287,Bright_Pattern,Reject_All,4000,TRUE,0,Safari,Desktop
usr_288,Bright_Pattern,Accept_All,4100,FALSE,0,Chrome,Desktop
usr_289,Dark_Pattern,Accept_All,12100,FALSE,1,Firefox,Desktop
usr_290,Dark_Pattern,Manage_Options,18500,TRUE,1,Safari,Desktop
usr_291,Bright_Pattern,Reject_All,5400,TRUE,0,Chrome,Mobile
usr_292,Bright_Pattern,Reject_All,4600,TRUE,0,Edge,Desktop
usr_293,Dark_Pattern,Accept_All,15800,FALSE,2,Chrome,Desktop
usr_294,Dark_Pattern,Manage_Options,22700,TRUE,2,Safari,Mobile
usr_295,Bright_Pattern,Accept_All,4300,FALSE,0,Firefox,Desktop
usr_296,Bright_Pattern,Reject_All,5100,TRUE,0,Chrome,Desktop
usr_297,Dark_Pattern,Manage_Options,16800,TRUE,1,Edge,Desktop
usr_298,Dark_Pattern,Accept_All,11400,FALSE,2,Chrome,Mobile
usr_299,Bright_Pattern,Reject_All,5500,TRUE,0,Safari,Desktop
usr_300,Bright_Pattern,Reject_All,4900,TRUE,0,Chrome,Desktop
usr_301,Dark_Pattern,Accept_All,15200,FALSE,2,Firefox,Desktop
usr_302,Dark_Pattern,Manage_Options,20200,TRUE,1,Safari,Mobile
usr_303,Bright_Pattern,Reject_All,4200,TRUE,0,Chrome,Desktop
usr_304,Bright_Pattern,Accept_All,4300,FALSE,0,Edge,Desktop
usr_305,Dark_Pattern,Accept_All,12900,FALSE,1,Chrome,Desktop
usr_306,Dark_Pattern,Manage_Options,21600,TRUE,2,Safari,Desktop
usr_307,Bright_Pattern,Reject_All,4800,TRUE,0,Firefox,Mobile
usr_308,Bright_Pattern,Reject_All,3900,TRUE,0,Chrome,Desktop
usr_309,Dark_Pattern,Accept_All,14300,FALSE,2,Edge,Mobile
usr_310,Dark_Pattern,Manage_Options,17900,TRUE,0,Chrome,Desktop
usr_311,Bright_Pattern,Accept_All,4400,FALSE,0,Safari,Desktop
usr_312,Bright_Pattern,Reject_All,5000,TRUE,0,Chrome,Desktop
usr_313,Dark_Pattern,Accept_All,16400,FALSE,3,Firefox,Desktop
usr_314,Dark_Pattern,Manage_Options,23900,TRUE,2,Chrome,Mobile
usr_315,Bright_Pattern,Reject_All,3700,TRUE,0,Safari,Desktop
usr_316,Bright_Pattern,Accept_All,4200,FALSE,0,Edge,Desktop
usr_317,Dark_Pattern,Accept_All,11200,FALSE,1,Chrome,Desktop
usr_318,Dark_Pattern,Manage_Options,19200,TRUE,1,Safari,Mobile
usr_319,Bright_Pattern,Reject_All,5900,TRUE,0,Firefox,Desktop
usr_320,Bright_Pattern,Reject_All,4500,TRUE,0,Chrome,Desktop
usr_321,Dark_Pattern,Accept_All,14900,FALSE,2,Edge,Desktop
usr_322,Dark_Pattern,Manage_Options,17000,TRUE,0,Chrome,Mobile
usr_323,Bright_Pattern,Reject_All,5300,TRUE,0,Safari,Desktop
usr_324,Bright_Pattern,Accept_All,3700,FALSE,0,Chrome,Desktop
usr_325,Dark_Pattern,Accept_All,13300,FALSE,1,Firefox,Mobile
usr_326,Dark_Pattern,Manage_Options,20800,TRUE,2,Safari,Desktop
usr_327,Bright_Pattern,Reject_All,4100,TRUE,0,Chrome,Desktop
usr_328,Bright_Pattern,Reject_All,4700,TRUE,0,Edge,Desktop
usr_329,Dark_Pattern,Accept_All,9600,FALSE,1,Chrome,Desktop
usr_330,Dark_Pattern,Manage_Options,18100,TRUE,1,Safari,Mobile
usr_331,Bright_Pattern,Accept_All,4300,FALSE,0,Firefox,Desktop
usr_332,Bright_Pattern,Reject_All,5200,TRUE,0,Chrome,Desktop
usr_333,Dark_Pattern,Accept_All,15700,FALSE,3,Edge,Desktop
usr_334,Dark_Pattern,Manage_Options,21900,TRUE,0,Chrome,Mobile
usr_335,Bright_Pattern,Reject_All,3900,TRUE,0,Safari,Desktop
usr_336,Bright_Pattern,Accept_All,4000,FALSE,0,Chrome,Desktop
usr_337,Dark_Pattern,Accept_All,12200,FALSE,2,Firefox,Desktop
usr_338,Dark_Pattern,Manage_Options,19700,TRUE,1,Safari,Desktop
usr_339,Bright_Pattern,Reject_All,5600,TRUE,0,Chrome,Mobile
usr_340,Bright_Pattern,Reject_All,4400,TRUE,0,Edge,Desktop
usr_341,Dark_Pattern,Accept_All,14200,FALSE,2,Chrome,Desktop
usr_342,Dark_Pattern,Manage_Options,19100,TRUE,0,Safari,Mobile
usr_343,Bright_Pattern,Accept_All,4400,FALSE,0,Firefox,Desktop
usr_344,Bright_Pattern,Reject_All,5000,TRUE,0,Chrome,Desktop
usr_345,Dark_Pattern,Accept_All,13200,FALSE,2,Edge,Desktop
usr_346,Dark_Pattern,Manage_Options,23100,TRUE,2,Chrome,Mobile
usr_347,Bright_Pattern,Reject_All,3700,TRUE,0,Safari,Desktop
usr_348,Bright_Pattern,Accept_All,4100,FALSE,0,Chrome,Desktop
