Participant_ID,Condition,Age,Gender,Technical_Proficiency
usr_112,Bright_Pattern,26,Female,Intermediate
usr_113,Dark_Pattern,22,Female,Beginner
usr_114,Dark_Pattern,25,Male,Advanced
usr_115,Bright_Pattern,21,Female,Intermediate
usr_116,Bright_Pattern,27,Male,Intermediate
usr_117,Dark_Pattern,23,Male,Advanced
usr_118,Dark_Pattern,29,Female,Intermediate
usr_119,Bright_Pattern,20,Male,Beginner
usr_120,Bright_Pattern,24,Female,Advanced
usr_121,Dark_Pattern,26,Male,Intermediate
usr_122,Dark_Pattern,22,Female,Intermediate
usr_123,Bright_Pattern,25,Male,Advanced
usr_124,Bright_Pattern,19,Female,Beginner
usr_125,Dark_Pattern,23,Female,Intermediate
usr_126,Dark_Pattern,27,Male,Advanced
usr_127,Bright_Pattern,21,Male,Intermediate
usr_128,Bright_Pattern,24,Female,Intermediate
usr_129,Dark_Pattern,28,Male,Advanced
usr_130,Dark_Pattern,20,Female,Beginner
usr_131,Bright_Pattern,26,Female,Advanced
usr_132,Bright_Pattern,22,Male,Intermediate
usr_133,Dark_Pattern,24,Male,Intermediate
usr_134,Dark_Pattern,25,Female,Advanced
usr_135,Bright_Pattern,23,Female,Intermediate
usr_136,Bright_Pattern,27,Male,Intermediate
usr_137,Dark_Pattern,21,Male,Advanced
usr_138,Dark_Pattern,29,Female,Intermediate
usr_139,Bright_Pattern,22,Female,Beginner
usr_140,Bright_Pattern,26,Male,Advanced
usr_141,Dark_Pattern,24,Male,Intermediate
usr_142,Dark_Pattern,20,Female,Intermediate
usr_143,Bright_Pattern,23,Male,Advanced
usr_144,Bright_Pattern,25,Female,Intermediate
usr_145,Dark_Pattern,28,Male,Advanced
usr_146,Dark_Pattern,21,Female,Beginner
usr_147,Bright_Pattern,27,Female,Intermediate
usr_148,Bright_Pattern,22,Male,Intermediate
usr_149,Dark_Pattern,24,Male,Advanced
usr_150,Dark_Pattern,26,Female,Intermediate
usr_151,Bright_Pattern,20,Male,Beginner
usr_152,Bright_Pattern,25,Female,Advanced
usr_153,Dark_Pattern,23,Male,Intermediate
usr_154,Dark_Pattern,28,Female,Intermediate
usr_155,Bright_Pattern,21,Male,Advanced
usr_156,Bright_Pattern,24,Female,Intermediate
usr_157,Dark_Pattern,27,Male,Advanced
usr_158,Dark_Pattern,19,Female,Beginner
usr_159,Bright_Pattern,26,Female,Intermediate
usr_160,Bright_Pattern,22,Male,Intermediate
usr_161,Dark_Pattern,25,Male,Advanced
usr_162,Dark_Pattern,20,Female,Intermediate
usr_163,Bright_Pattern,23,Female,Beginner
usr_164,Bright_Pattern,27,Male,Advanced
usr_165,Dark_Pattern,22,Male,Intermediate
usr_166,Dark_Pattern,24,Female,Intermediate
usr_167,Bright_Pattern,28,Male,Advanced
usr_168,Bright_Pattern,21,Female,Beginner
usr_169,Dark_Pattern,26,Female,Intermediate
usr_170,Dark_Pattern,23,Male,Advanced
usr_171,Bright_Pattern,25,Female,Intermediate
usr_172,Bright_Pattern,20,Male,Intermediate
usr_173,Dark_Pattern,27,Male,Advanced
usr_174,Dark_Pattern,22,Female,Beginner
usr_175,Bright_Pattern,24,Female,Intermediate
usr_176,Bright_Pattern,26,Male,Advanced
usr_177,Dark_Pattern,21,Male,Intermediate
usr_178,Dark_Pattern,28,Female,Intermediate
usr_179,Bright_Pattern,23,Male,Advanced
usr_180,Bright_Pattern,25,Female,Beginner
usr_181,Dark_Pattern,20,Female,Intermediate
usr_182,Dark_Pattern,24,Male,Advanced
usr_183,Bright_Pattern,27,Male,Intermediate
usr_184,Bright_Pattern,22,Female,Intermediate
usr_185,Dark_Pattern,26,Male,Advanced
usr_186,Dark_Pattern,19,Female,Beginner
usr_187,Bright_Pattern,23,Female,Intermediate
usr_188,Bright_Pattern,28,Male,Advanced
usr_189,Dark_Pattern,21,Male,Intermediate
usr_190,Dark_Pattern,25,Female,Intermediate
usr_191,Bright_Pattern,24,Male,Advanced
usr_192,Bright_Pattern,20,Female,Beginner
usr_193,Dark_Pattern,27,Female,Intermediate
usr_194,Dark_Pattern,22,Male,Advanced
usr_195,Bright_Pattern,26,Female,Intermediate
usr_196,Bright_Pattern,23,Male,Intermediate
usr_197,Dark_Pattern,29,Male,Advanced
usr_198,Dark_Pattern,20,Female,Beginner
usr_199,Bright_Pattern,24,Female,Intermediate
usr_200,Bright_Pattern,25,Male,Advanced
usr_201,Dark_Pattern,22,Male,Intermediate
usr_202,Dark_Pattern,28,Female,Intermediate
usr_203,Bright_Pattern,21,Male,Advanced
usr_204,Bright_Pattern,26,Female,Beginner
usr_205,Dark_Pattern,24,Female,Intermediate
usr_206,Dark_Pattern,23,Male,Advanced
usr_207,Bright_Pattern,27,Male,Intermediate
usr_208,Bright_Pattern,20,Female,Intermediate
usr_209,Dark_Pattern,25,Male,Advanced
usr_210,Dark_Pattern,22,Female,Beginner
usr_211,Bright_Pattern,28,Female,Intermediate
usr_212,Bright_Pattern,24,Male,Advanced
usr_213,Dark_Pattern,21,Male,Intermediate
usr_214,Dark_Pattern,26,Female,Intermediate
usr_215,Bright_Pattern,23,Male,Advanced
usr_216,Bright_Pattern,27,Female,Beginner
usr_217,Dark_Pattern,20,Male,Intermediate
usr_218,Dark_Pattern,25,Female,Advanced
usr_219,Bright_Pattern,22,Female,Intermediate
usr_220,Bright_Pattern,24,Male,Intermediate
usr_221,Dark_Pattern,28,Male,Advanced
usr_222,Dark_Pattern,19,Female,Beginner
usr_223,Bright_Pattern,26,Female,Intermediate
usr_224,Bright_Pattern,23,Male,Advanced
usr_225,Dark_Pattern,21,Male,Intermediate
usr_226,Dark_Pattern,27,Female,Intermediate
usr_227,Bright_Pattern,24,Male,Advanced
usr_228,Bright_Pattern,22,Female,Beginner
usr_229,Dark_Pattern,25,Female,Intermediate
usr_230,Dark_Pattern,20,Male,Advanced
usr_231,Bright_Pattern,28,Male,Intermediate
usr_232,Bright_Pattern,21,Female,Intermediate
usr_233,Dark_Pattern,23,Male,Advanced
usr_234,Dark_Pattern,26,Female,Beginner
usr_235,Bright_Pattern,22,Female,Intermediate
usr_236,Bright_Pattern,24,Male,Advanced
usr_237,Dark_Pattern,27,Male,Intermediate
usr_238,Dark_Pattern,20,Female,Intermediate
usr_239,Bright_Pattern,25,Male,Advanced
usr_240,Bright_Pattern,23,Female,Beginner
usr_241,Dark_Pattern,29,Female,Intermediate
usr_242,Dark_Pattern,21,Male,Advanced
usr_243,Bright_Pattern,26,Female,Intermediate
usr_244,Bright_Pattern,22,Male,Intermediate
usr_245,Dark_Pattern,24,Male,Advanced
usr_246,Dark_Pattern,28,Female,Beginner
usr_247,Bright_Pattern,20,Female,Intermediate
usr_248,Bright_Pattern,25,Male,Advanced
usr_249,Dark_Pattern,23,Male,Intermediate
usr_250,Dark_Pattern,27,Female,Intermediate
usr_251,Bright_Pattern,21,Male,Advanced
usr_252,Bright_Pattern,24,Female,Beginner
usr_253,Dark_Pattern,26,Female,Intermediate
usr_254,Dark_Pattern,22,Male,Advanced
usr_255,Bright_Pattern,25,Male,Intermediate
usr_256,Bright_Pattern,20,Female,Intermediate
usr_257,Dark_Pattern,28,Male,Advanced
usr_258,Dark_Pattern,23,Female,Beginner
usr_259,Bright_Pattern,27,Female,Intermediate
usr_260,Bright_Pattern,24,Male,Advanced
usr_261,Dark_Pattern,21,Male,Intermediate
usr_262,Dark_Pattern,26,Female,Intermediate
usr_263,Bright_Pattern,23,Male,Advanced
usr_264,Bright_Pattern,25,Female,Beginner
usr_265,Dark_Pattern,22,Female,Intermediate
usr_266,Dark_Pattern,27,Male,Advanced
usr_267,Bright_Pattern,20,Male,Intermediate
usr_268,Bright_Pattern,24,Female,Intermediate
usr_269,Dark_Pattern,28,Male,Advanced
usr_270,Dark_Pattern,21,Female,Beginner
usr_271,Bright_Pattern,26,Female,Intermediate
usr_272,Bright_Pattern,22,Male,Advanced
usr_273,Dark_Pattern,25,Male,Intermediate
usr_274,Dark_Pattern,23,Female,Intermediate
usr_275,Bright_Pattern,27,Male,Advanced
usr_276,Bright_Pattern,20,Female,Beginner
usr_277,Dark_Pattern,24,Female,Intermediate
usr_278,Dark_Pattern,26,Male,Advanced
usr_279,Bright_Pattern,22,Male,Intermediate
usr_280,Bright_Pattern,28,Female,Intermediate
usr_281,Dark_Pattern,21,Male,Advanced
usr_282,Dark_Pattern,25,Female,Beginner
usr_283,Bright_Pattern,24,Female,Intermediate
usr_284,Bright_Pattern,23,Male,Advanced
usr_285,Dark_Pattern,27,Male,Intermediate
usr_286,Dark_Pattern,20,Female,Intermediate
usr_287,Bright_Pattern,26,Male,Advanced
usr_288,Bright_Pattern,22,Female,Beginner
usr_289,Dark_Pattern,25,Female,Intermediate
usr_290,Dark_Pattern,24,Male,Advanced
usr_291,Bright_Pattern,28,Male,Intermediate
usr_292,Bright_Pattern,21,Female,Intermediate
usr_293,Dark_Pattern,23,Male,Advanced
usr_294,Dark_Pattern,27,Female,Beginner
usr_295,Bright_Pattern,20,Male,Intermediate
usr_296,Bright_Pattern,25,Female,Advanced
usr_297,Dark_Pattern,22,Female,Intermediate
usr_298,Dark_Pattern,26,Male,Intermediate
usr_299,Bright_Pattern,24,Male,Advanced
usr_300,Bright_Pattern,23,Female,Beginner
usr_301,Dark_Pattern,28,Female,Intermediate
usr_302,Dark_Pattern,21,Male,Advanced
usr_303,Bright_Pattern,26,Female,Intermediate
usr_304,Bright_Pattern,22,Male,Intermediate
usr_305,Dark_Pattern,24,Male,Advanced
usr_306,Dark_Pattern,25,Female,Beginner
usr_307,Bright_Pattern,20,Male,Intermediate
usr_308,Bright_Pattern,27,Female,Advanced
usr_309,Dark_Pattern,23,Male,Intermediate
usr_310,Dark_Pattern,29,Female,Intermediate
usr_311,Bright_Pattern,21,Male,Advanced
usr_312,Bright_Pattern,24,Female,Beginner
usr_313,Dark_Pattern,26,Female,Intermediate
usr_314,Dark_Pattern,22,Male,Advanced
usr_315,Bright_Pattern,25,Male,Intermediate
usr_316,Bright_Pattern,20,Female,Intermediate
usr_317,Dark_Pattern,28,Male,Advanced
usr_318,Dark_Pattern,23,Female,Beginner
usr_319,Bright_Pattern,27,Female,Intermediate
usr_320,Bright_Pattern,24,Male,Advanced
usr_321,Dark_Pattern,21,Male,Intermediate
usr_322,Dark_Pattern,26,Female,Intermediate
usr_323,Bright_Pattern,23,Male,Advanced
usr_324,Bright_Pattern,25,Female,Beginner
usr_325,Dark_Pattern,22,Female,Intermediate
usr_326,Dark_Pattern,27,Male,Advanced
usr_327,Bright_Pattern,20,Male,Intermediate
usr_328,Bright_Pattern,24,Female,Intermediate
usr_329,Dark_Pattern,28,Male,Advanced
usr_330,Dark_Pattern,21,Female,Beginner
usr_331,Bright_Pattern,26,Female,Intermediate
usr_332,Bright_Pattern,22,Male,Advanced
usr_333,Dark_Pattern,25,Male,Intermediate
usr_334,Dark_Pattern,23,Female,Intermediate
usr_335,Bright_Pattern,27,Male,Advanced
usr_336,Bright_Pattern,20,Female,Beginner
usr_337,Dark_Pattern,24,Female,Intermediate
usr_338,Dark_Pattern,26,Male,Advanced
usr_339,Bright_Pattern,22,Male,Intermediate
usr_340,Bright_Pattern,28,Female,Intermediate
usr_341,Dark_Pattern,21,Male,Advanced
usr_342,Dark_Pattern,25,Female,Beginner
usr_343,Bright_Pattern,24,Female,Intermediate
usr_344,Bright_Pattern,23,Male,Advanced
usr_345,Dark_Pattern,27,Male,Intermediate
usr_346,Dark_Pattern,20,Female,Intermediate
usr_347,Bright_Pattern,26,Male,Advanced
usr_348,Bright_Pattern,22,Female,Beginner
usr_349,Dark_Pattern,25,Female,Intermediate
usr_350,Dark_Pattern,24,Male,Advanced
usr_351,Bright_Pattern,28,Male,Intermediate
usr_352,Bright_Pattern,21,Female,Intermediate
usr_353,Dark_Pattern,23,Male,Advanced
usr_354,Dark_Pattern,27,Female,Beginner
usr_355,Bright_Pattern,20,Male,Intermediate
usr_356,Bright_Pattern,25,Female,Advanced
usr_357,Dark_Pattern,22,Female,Intermediate
usr_358,Dark_Pattern,26,Male,Intermediate
usr_359,Bright_Pattern,24,Male,Advanced
usr_360,Bright_Pattern,23,Female,Beginner
usr_361,Dark_Pattern,28,Female,Intermediate
usr_362,Dark_Pattern,21,Male,Advanced
usr_363,Bright_Pattern,26,Female,Intermediate
usr_364,Bright_Pattern,22,Male,Intermediate
usr_365,Dark_Pattern,24,Male,Advanced
usr_366,Dark_Pattern,25,Female,Beginner
usr_367,Bright_Pattern,20,Male,Intermediate
usr_368,Bright_Pattern,27,Female,Advanced
usr_369,Dark_Pattern,23,Male,Intermediate
usr_370,Dark_Pattern,29,Female,Intermediate
usr_371,Bright_Pattern,21,Male,Advanced
usr_372,Bright_Pattern,24,Female,Beginner
usr_373,Dark_Pattern,26,Female,Intermediate
usr_374,Dark_Pattern,22,Male,Advanced
usr_375,Bright_Pattern,25,Male,Intermediate
usr_376,Bright_Pattern,20,Female,Intermediate
usr_377,Dark_Pattern,28,Male,Advanced
usr_378,Dark_Pattern,23,Female,Beginner
usr_379,Bright_Pattern,27,Female,Intermediate
usr_380,Bright_Pattern,24,Male,Advanced
usr_381,Dark_Pattern,21,Male,Intermediate
usr_382,Dark_Pattern,26,Female,Intermediate
usr_383,Bright_Pattern,23,Male,Advanced
usr_384,Bright_Pattern,25,Female,Beginner
usr_385,Dark_Pattern,22,Female,Intermediate
usr_386,Dark_Pattern,27,Male,Advanced
usr_387,Bright_Pattern,20,Male,Intermediate
usr_388,Bright_Pattern,24,Female,Intermediate
usr_389,Dark_Pattern,28,Male,Advanced
usr_390,Dark_Pattern,21,Female,Beginner
usr_391,Bright_Pattern,26,Female,Intermediate
usr_392,Bright_Pattern,22,Male,Advanced
usr_393,Dark_Pattern,25,Male,Intermediate
usr_394,Dark_Pattern,23,Female,Intermediate
usr_395,Bright_Pattern,27,Male,Advanced
usr_396,Bright_Pattern,20,Female,Beginner
usr_397,Dark_Pattern,24,Female,Intermediate
usr_398,Dark_Pattern,26,Male,Advanced
usr_399,Bright_Pattern,22,Male,Intermediate
usr_400,Bright_Pattern,28,Female,Intermediate
usr_401,Dark_Pattern,21,Male,Advanced
usr_402,Dark_Pattern,25,Female,Beginner
usr_403,Bright_Pattern,24,Female,Intermediate
usr_404,Bright_Pattern,23,Male,Advanced
usr_405,Dark_Pattern,27,Male,Intermediate
usr_406,Dark_Pattern,20,Female,Intermediate
usr_407,Bright_Pattern,26,Male,Advanced
usr_408,Bright_Pattern,22,Female,Beginner
usr_409,Dark_Pattern,25,Female,Intermediate
usr_410,Dark_Pattern,24,Male,Advanced
usr_411,Bright_Pattern,28,Male,Intermediate
usr_412,Bright_Pattern,21,Female,Intermediate
usr_413,Dark_Pattern,23,Male,Advanced
usr_414,Dark_Pattern,27,Female,Beginner
usr_415,Bright_Pattern,20,Male,Intermediate
usr_416,Bright_Pattern,25,Female,Advanced
usr_417,Dark_Pattern,22,Female,Intermediate
usr_418,Dark_Pattern,26,Male,Intermediate
usr_419,Bright_Pattern,24,Male,Advanced
usr_420,Bright_Pattern,23,Female,Beginner
usr_421,Dark_Pattern,28,Female,Intermediate
usr_422,Dark_Pattern,21,Male,Advanced
usr_423,Bright_Pattern,26,Female,Intermediate
usr_424,Bright_Pattern,22,Male,Intermediate
usr_425,Dark_Pattern,24,Male,Advanced
usr_426,Dark_Pattern,25,Female,Beginner
usr_427,Bright_Pattern,20,Male,Intermediate
usr_428,Bright_Pattern,27,Female,Advanced
usr_429,Dark_Pattern,23,Male,Intermediate
usr_430,Dark_Pattern,29,Female,Intermediate
usr_431,Bright_Pattern,21,Male,Advanced
usr_432,Bright_Pattern,24,Female,Beginner
usr_433,Dark_Pattern,26,Female,Intermediate
usr_434,Dark_Pattern,22,Male,Advanced
usr_435,Bright_Pattern,25,Male,Intermediate
usr_436,Bright_Pattern,20,Female,Intermediate
usr_437,Dark_Pattern,28,Male,Advanced
usr_438,Dark_Pattern,23,Female,Beginner
usr_439,Bright_Pattern,27,Female,Intermediate
usr_440,Bright_Pattern,24,Male,Advanced
usr_441,Dark_Pattern,21,Male,Intermediate
usr_442,Dark_Pattern,26,Female,Intermediate
usr_443,Bright_Pattern,23,Male,Advanced
usr_444,Bright_Pattern,25,Female,Beginner
usr_445,Dark_Pattern,22,Female,Intermediate
usr_446,Dark_Pattern,27,Male,Advanced
usr_447,Bright_Pattern,20,Male,Intermediate
usr_448,Bright_Pattern,24,Female,Intermediate
usr_449,Dark_Pattern,28,Male,Advanced
usr_450,Dark_Pattern,21,Female,Beginner
usr_451,Bright_Pattern,26,Female,Intermediate
usr_452,Bright_Pattern,22,Male,Advanced
usr_453,Dark_Pattern,25,Male,Intermediate
usr_454,Dark_Pattern,23,Female,Intermediate
usr_455,Bright_Pattern,27,Male,Advanced
usr_456,Bright_Pattern,20,Female,Beginner
usr_457,Dark_Pattern,24,Female,Intermediate
usr_458,Dark_Pattern,26,Male,Advanced
usr_459,Bright_Pattern,22,Male,Intermediate
usr_460,Bright_Pattern,28,Female,Intermediate
usr_461,Dark_Pattern,21,Male,Advanced
usr_462,Dark_Pattern,25,Female,Beginner
usr_463,Bright_Pattern,24,Female,Intermediate
usr_464,Bright_Pattern,23,Male,Advanced
usr_465,Dark_Pattern,27,Male,Intermediate
usr_466,Dark_Pattern,20,Female,Intermediate
usr_467,Bright_Pattern,26,Male,Advanced
usr_468,Bright_Pattern,22,Female,Beginner
usr_469,Dark_Pattern,25,Female,Intermediate
usr_470,Dark_Pattern,24,Male,Advanced
usr_471,Bright_Pattern,28,Male,Intermediate
usr_472,Bright_Pattern,21,Female,Intermediate
usr_473,Dark_Pattern,23,Male,Advanced
usr_474,Dark_Pattern,27,Female,Beginner
usr_475,Bright_Pattern,20,Male,Intermediate
usr_476,Bright_Pattern,25,Female,Advanced
usr_477,Dark_Pattern,22,Female,Intermediate
usr_478,Dark_Pattern,26,Male,Intermediate
usr_479,Bright_Pattern,24,Male,Advanced
usr_480,Bright_Pattern,23,Female,Beginner
usr_481,Dark_Pattern,28,Female,Intermediate
usr_482,Dark_Pattern,21,Male,Advanced
usr_483,Bright_Pattern,26,Female,Intermediate
usr_484,Bright_Pattern,22,Male,Intermediate
usr_485,Dark_Pattern,24,Male,Advanced
usr_486,Dark_Pattern,25,Female,Beginner
usr_487,Bright_Pattern,20,Male,Intermediate
usr_488,Bright_Pattern,27,Female,Advanced
usr_489,Dark_Pattern,23,Male,Intermediate
usr_490,Dark_Pattern,29,Female,Intermediate
usr_491,Bright_Pattern,21,Male,Advanced
usr_492,Bright_Pattern,24,Female,Beginner
usr_493,Dark_Pattern,26,Female,Intermediate
usr_494,Dark_Pattern,22,Male,Advanced
usr_495,Bright_Pattern,25,Male,Intermediate
usr_496,Bright_Pattern,20,Female,Intermediate
usr_497,Dark_Pattern,28,Male,Advanced
usr_498,Dark_Pattern,23,Female,Beginner
usr_499,Bright_Pattern,27,Female,Intermediate
usr_500,Bright_Pattern,24,Male,Advanced
